,0
관리,39
블록,26
체인,26
단말,26
노드,19
네트워크,18
거래,16
서버,14
데이터,14
저장,14
중개,14
내역,14
포함,13
모듈,12
이즈,11
분석,9
상기,8
머신,8
시스템,8
업체,8
협력,8
수행,7
금융,7
구성,7
유통,7
상품,7
가맹점,7
으로,6
도록,6
주문,6
이용,6
구매,5
판매,5
물류,5
재고,4
입금,4
수요,4
생산,4
개설,4
어서,4
로부터,4
연결,4
일자,4
복제,3
분산,3
분류,3
발생,3
예측,3
가상계좌,3
요청,2
특징,2
학습,2
행하,2
항목,2
품목,2
전송,2
정의,2
통신,2
가능,2
확인,2
사이,2
시간대,2
동시,2
시간,2
동기,2
수집,2
어느,1
된다,1
통보,1
통한,1
통해,1
대한,1
대상,1
기반,1
평가,1
주기,1
관한,1
하나,1
계좌,1
결과,1
가중치,1
가성,1
또는,1
정보,1
제공,1
생성,1
실행,1
예측값,1
예측부,1
위한,1
수치,1
으로부터,1
으면,1
인가,1
물품,1
빈도수,1
분석부,1
부합,1
방식,1
전달,1
발명,1
에서,1
수집부,1
